"LfdNr";"Titel";"isbn";"Verlag";"Preis"
0;"Advent mit klugen Frauen";"978-3-649-63299-3";" COPPENRATH-VERLAG GMBH &";12
1;"Allüberall hinter den Tannenspitzen sah ich blutige Klingen blitzen";"978-3-629-01534-1";" PATTLOCH VERLAG GMBH & C";15
2;"Allüberall hinter den Tannenspitzen sah ich blutige Klingen blitzen";"978-3-629-01534-1";" PATTLOCH VERLAG GMBH & C";15
3;"Das Biber-Rätsel";"978-3-551-65737-4";" Auer, Margit CARLSEN VER";9
4;"Das Biber-Rätsel";"978-3-551-65737-4";" Auer, Margit CARLSEN VER";9
5;"Das Geschenk";"978-3-552-07574-0";" Schoeters, Gaea ZSOLNAY,";22
6;"Der Buchladen am Ende der Welt";"978-3-616-03540-6";" Shaw, Ruth MAIRDUMONT GM";12,95
7;"Der stille Freund";"978-3-630-87812-6";" Schirach, Ferdinand von ";22
8;"Der Tag, an dem Max dreimal ins Auto gekotzt hat";"978-3-551-52319-8";" Kling, Marc-Uwe CARLSEN ";12
9;"Die Fellfreunde und das Dschungel-Abenteuer";"978-3-551-69126-2";" De Lon, Nora CARLSEN VER";9
10;"Die illustrierten kurzen Antworten auf große Fragen";"978-3-608-96654-1";" Hawking, Stephen COTTA'S";32
11;"Die illustrierten kurzen Antworten auf große Fragen";"978-3-608-96654-1";" Hawking, Stephen COTTA'S";32
12;"Die kleine Maus feiert Weihnachten";"978-3-7432-1109-4";" Harry, Rebecca LOEWE VER";15
13;"Die kleine Schnullerfee";"978-3-649-65094-2";" Hedlund, Liane COPPENRAT";13
14;"Die schönsten Weihnachtslieder";"978-3-551-25404-7";" CARLSEN VERLAG GMBH HAMB";12
15;"Drachenstarke Weihnachtsnacht";"978-3-551-52233-7";" Gemmel, Stefan CARLSEN V";13
16;"Dunkles Wasser";"978-3-7341-0743-6";" Link, Charlotte BLANVALE";17
17;"Eifelschatten";"978-3-7408-2492-1";" Schulte, Andreas J EMONS";15
18;"Ein Fest für Gemüse";"978-3-7106-0896-4";" Razavi, Parvin CHRISTIAN";36
19;"Familien im Tierreich";"978-3-7348-6086-7";" Tecnoscienza MAGELLAN GM";20
20;"Furzipups und Lulu Lavazunge";"978-3-649-64848-2";" Lüftner, Kai COPPENRATH";18
21;"Im Bann der Freibeuter";"978-3-7408-2552-2";" Lotter, Johann Christian";18
22;"Jakob und Jelena";"978-3-551-55757-5";" Bach, Tamara CARLSEN VER";15
23;"Kling und Glöckchen";"978-3-7408-1249-2";" Pistor, Elke EMONS VERLA";12
24;"Komm mit in die Weihnachtsbäckerei";"978-3-7432-0270-2";" Schmidt, Hans-Christian ";14,95
25;"Komm mit in die Weihnachtsbäckerei";"978-3-7432-0270-2";" Schmidt, Hans-Christian ";14,95
26;"Lázár";"978-3-7371-0226-1";" Biedermann, Nelio ROWOHL";24
27;"Makrönchen, Mord & Mandelduft";"978-3-7408-0203-5";" Pistor, Elke EMONS VERLA";13
28;"Marvel: Das große silberne Spidey-Buch";"978-3-551-28072-5";" Disney, Walt CARLSEN VER";28
29;"Snoopy und die Peanuts - Das Glück der kleinen Dinge";"978-3-551-80749-6";" Schulz, Charles M CARLSE";30
30;"Snorri und der Nicht-Geburtstag";"978-3-649-64683-9";" Engler, Michael COPPENRA";16
31;"Stadt der Magier und Diebe";"978-3-551-58640-7";" Mohr, Judith CARLSEN VER";15
32;"Wasser - Wo kommt es her? Wo fließt es hin?";"978-3-7348-6050-8";" Fadejewa, Olga MAGELLAN ";18
33;"Weihnachten im Winterschlaf";"978-3-551-69132-3";" Brause, Katalina CARLSEN";9
34;"Weihnachten im Winterschlaf";"978-3-551-69132-3";" Brause, Katalina CARLSEN";9
35;"Welcome Home - Du liebst dein neues Zuhause. Hier bist du sicher. Oder?";"978-3-596-71151-2";" Strobel, Arno FISCHER, S";18
36;"'Wenn ich was mach, mach ich's gscheid'";"978-3-7423-2176-3";" Dahlmeier, Laura/Kucera,";18
37;"Wichtel Nisse und das ungeplante Weihnachtswunder";"978-3-629-01545-7";" Ottenschläger, Madlen P";14
38;"Wir Jungs vom Prinzenpark";"978-3-551-55953-1";" Schröder, Dennis/Tielma";15
39;"Wortsalat und Buchstabensuppe";"978-3-551-69131-6";" Neßhöver, Nanna CARLSE";9
40;"Wortsalat und Buchstabensuppe";"978-3-551-69131-6";" Neßhöver, Nanna CARLSE";9
41;"Yoga Town";"978-3-596-71200-7";" Speck, Daniel FISCHER, S";18
;;;;698,85
