"ISBN";"Anzahl";"Titel";"publisher";"E-Preis";;
"978-3-7408-1249-2";1;"Kling und Glöckchen";" Pistor, Elke EMONS VERLA";"12,00 €";;"12,00 €"
"978-3-7408-2492-1";1;"Eifelschatten";" Schulte, Andreas J EMONS";"15,00 €";;"15,00 €"
"978-3-7408-2552-2";1;"Im Bann der Freibeuter";" Lotter, Johann Christian";"18,00 €";;"18,00 €"
"978-3-7423-2176-3";1;"'Wenn ich was mach, mach ich's gscheid'";" Dahlmeier, Laura/Kucera,";"18,00 €";;"18,00 €"
"978-3-7432-0270-2";3;"Komm mit in die Weihnachtsbäckerei";" Schmidt, Hans-Christian ";"14,95 €";;"44,85 €"
"978-3-7432-1109-4";5;"Die kleine Maus feiert Weihnachten";" Harry, Rebecca LOEWE VER";"15,00 €";;"75,00 €"
"978-3-7432-1363-0";1;"O du fröhliche!";" Loewe Weihnachten LOEWE ";"22,00 €";;"22,00 €"
"978-3-7432-1595-5";1;"Milo und das Eifersuchtsmonster";" Percival, Tom LOEWE VERL";"15,00 €";;"15,00 €"
"978-3-7432-1765-2";2;"Die zauberhafte Wichteltür";" Anker, Nicola LOEWE VERL";"15,00 €";;"30,00 €"
"978-3-7432-1903-8";3;"Bildermaus - Die kleine Eisprinzessin";" Hierteis, Eva LOEWE VERL";"9,95 €";;"29,85 €"
"978-3-7432-1956-4";2;"Nightmore - Plötzlich Werwolf";" Walder, Vanessa LOEWE VE";"9,95 €";;"19,90 €"
"978-3-7432-2065-2";2;"Na toll, ein Weihnachtstroll";" Moser, Annette LOEWE VER";"12,95 €";;"25,90 €"
"978-3-7432-2102-4";1;"Unico erwacht (Band 1)";" Tezuka, Osamu/Sattin, Sa";"16,00 €";;"16,00 €"
"978-3-7462-6577-3";1;"Ein Jahr für die Seele 2025/2026";" ST. BENNO BUCH UND ZEITS";"12,95 €";;"12,95 €"
"978-3-7512-0475-0";1;"Kleb ein buntes Pflaster drauf!";" Boese, Cornelia DRESSLER";"14,00 €";;"14,00 €"
"978-3-7512-0537-5";1;"KoboldKroniken 5. Rumpels Rückkehr";" Bleckmann, Daniel DRESSL";"15,00 €";;"15,00 €"
"978-3-7512-0578-8";2;"Irida und die Stadt der Geheimnisse";" Heitz, Markus DRESSLER, ";"18,00 €";;"36,00 €"
"978-3-7512-0770-6";1;"Escape School - Der unheimliche Nebel";" Ambach, Jule DRESSLER, C";"7,00 €";;"7,00 €"
"978-3-7558-0522-9";1;"Windstärke 17";" Wahl, Caroline DUMONT LI";"14,00 €";;"14,00 €"
"978-3-7558-0558-8";1;"Zwei Leben";" Arenz, Ewald DUMONT LITE";"14,00 €";;"14,00 €"
"978-3-7577-0160-4";2;"Das zweite Königreich";" Gablé, Rebecca EHRENWIR";"18,00 €";;"36,00 €"
"978-3-7587-0021-7";2;"Und plötzlich ist nichts mehr, wie es war";" Roebke, Albi/Harmann, Li";"18,00 €";;"36,00 €"
"978-3-7596-0032-5";1;"Madwoman";" Bieker, Chelsea POLAKOV,";"18,00 €";;"18,00 €"
"978-3-7641-5322-9";1;"Das kleine Böse Buch - Adventskalender";" Myst, Magnus BETZ, WIEN";"15,00 €";;"15,00 €"
"978-3-7641-7153-7";3;"Der Regenzaubermarkt";" Yeong-Gwang, You BETZ, W";"20,00 €";;"60,00 €"
"978-3-7645-0880-7";1;"Vermisst - Der Fall Emily";" Brand, Christine BLANVAL";"18,00 €";;"18,00 €"
"978-3-7670-1944-7";2;"Heißluftfritteuse vegetarisch";" OETKER, DR., VERLAG KG B";"17,99 €";;"35,98 €"
"978-3-7886-7656-8";1;"Das große WAS IST WAS Antwortbuch Tierwelt";" Lich, Barbara TESSLOFF V";"24,00 €";;"24,00 €"
"978-3-7886-7737-4";1;"WAS IST WAS Erstes Lesen easy! Band 19. Tierische Rekorde";" Meierjürgen, Sonja TESS";"7,95 €";;"7,95 €"
"978-3-7891-0766-5";1;"Alea Aquarius 10. Der Stern des Schicksals";" Stewner, Tanya OETINGER,";"18,00 €";;"18,00 €"
"978-3-8031-2883-6";1;"Alle, außer mir";" Melandri, Francesca WAGE";"18,00 €";;"18,00 €"
"978-3-8094-4789-4";4;"Schüttel den Weihnachtsbaum";" Sternbaum, Nico BASSERMA";"9,99 €";;"39,96 €"
"978-3-8157-5271-5";1;"Bibelgeschichten für die Kleinsten";" Witthöft, Inga COPPENRA";"12,00 €";;"12,00 €"
"978-3-8157-9361-9";2;"Meine allerliebsten Kindergebete";" COPPENRATH-VERLAG GMBH &";"6,00 €";;"12,00 €"
"978-3-8270-1507-5";2;"Mensch!";" Friedman, Michel BV BERL";"20,00 €";;"40,00 €"
"978-3-8303-3702-7";2;"Fiese Bilder - Buchausgabe 2025";" Wolfgang Kleinert/Dieter";"14,00 €";;"28,00 €"
"978-3-8321-6722-6";1;"Crime im Heim";" Tannert, Ida DUMONT LITE";"17,00 €";;"17,00 €"
"978-3-8337-5022-9";1;"Enno - Ein Austernfischer auf Schatzsuche";" Reitmeyer, Andrea JUMBO ";"16,00 €";;"16,00 €"
"978-3-8338-9058-1";4;"Vegetarische Mezze";" Dusy, Tanja GRÄFE UND U";"11,99 €";;"47,96 €"
"978-3-8338-9238-7";2;"Brotzeit geht immer!";" Dusy, Tanja GRÄFE UND U";"11,99 €";;"23,98 €"
"978-3-8338-9489-3";1;"Überraschende Ideen für deinen Airfryer";" Dusy, Tanja GRÄFE UND U";"11,99 €";;"11,99 €"
"978-3-8338-9605-7";1;"Schnell mal Pasta";" Poletto, Cornelia GRÄFE";"12,99 €";;"12,99 €"
"978-3-8339-0676-3";1;"Weihnachten mit (ohne) Juli";" Eimer, Petra BAUMHAUS VE";"14,00 €";;"14,00 €"
"978-3-8339-1031-9";1;"Herr Hütchen sagt Gute Nacht - Einschlaf-Geschichten aus dem Wald";" Pokahr, Katrin BAUMHAUS ";"15,00 €";;"15,00 €"
"978-3-8353-5807-2";1;"Die Revolte der Erde";" Detering, Heinrich (Prof";"28,00 €";;"28,00 €"
"978-3-8392-0770-3";1;"Die Schneckenkönigin - 'Wenn aber deine Hand dir ... ";"Venske, Regula";"15,00 €";;"15,00 €"
"978-3-8458-6528-7";1;"Ice-cold Desire";" Wood, Daniel/Winter, May";"14,00 €";;"14,00 €"
"978-3-85535-220-3";2;"Nachtschattengewächse";" Johnson, Jill ATRIUM ZÜ";"24,00 €";;"48,00 €"
"978-3-949239-25-0";3;"Das kleine Häwas";" Niechzial, Saskia/Pomnit";"22,90 €";;"68,70 €"
"978-3-949582-44-8";7;"Margot Friedländer. Eine Stimme für das Leben";" Friedländer, Margot/Hur";"20,00 €";;"140,00 €"
"978-3-95640-445-0";1;"Die Frau als Mensch";" Lust, Ulli REHM, DIRK BE";"29,00 €";;"29,00 €"
"978-3-95939-235-8";1;"Stille Post";" Tuschka, Andrea BOHEM PR";"20,00 €";;"20,00 €"
"978-3-96129-516-6";1;"Nanami - Schwimm dich mutig";" Pohl, Nathalie/Stremmel,";"16,99 €";;"16,99 €"
"978-3-96340-260-9";1;"Der Liebe zuliebe";" Wecker, Konstantin BENE!";"24,00 €";;"24,00 €"
"978-3-96347-336-4";4;"Leo Lausemaus lernt Schleifen binden";" Witt, Sophia LINGEN, HEL";"12,95 €";;"51,80 €"
"978-3-96584-561-9";1;"Die Ernährungs-Docs - Unsere große Nährstoffküche";" Andresen, Viola (Dr. med";"26,99 €";;"26,99 €"
"978-3-96890-226-5";1;"YouTube-Chaos";" LukasBS BRAINBOOK VERLAG";"17,99 €";;"17,99 €"
"978-3-96990-212-7";1;"Die 25 schönsten E-Bike Touren zwischen Rhein, Main und Lahn";" Steinbicker, Otmar BIELE";"17,95 €";;"17,95 €"
"978-3-98585-211-6";2;"Der verschwundene Buchladen";" Woods, Evie ADRIAN & WIM";"14,95 €";;"29,90 €"
"978-3-98816-022-5";1;"Die Ausweichschule";" Erdmann, Kaleb ULLSTEIN ";"22,00 €";;"22,00 €"
"978-94-0383209-8";2;"Weil du es wert bist - Der Selbstliebe Adventskalender für Frauen";" Alina Engels BOOK ME! ME";"12,95 €";;"25,90 €"
"9783-406-83626-8";1;"Anna oder: Was von einem Leben bleibt";" Sußebach, Henning BECK,";"23,00 €";;"23,00 €"
"Anzahl Bücher";388;;"Bestellwert";6294,52;;"6.294,52 €"
