"ISBN";"Anzahl";"Titel";"publisher";"E-Preis";;
9783830364184;1;"Peanuts Geschenkbuch: Frohe Weihnachten mit Snoopy und den Peanuts";;"10,00 €";;"10,00 €"
9783831044979;1;"SUPERLESER! Star Wars(TM) Die Geschichte der Jedi - Sach-Geschichten für Erstleser, Lesestufe Leseprofis";;"9,95 €";;"9,95 €"
9783831046423;1;"SUPERLESER! Star Wars(TM) Die Geschichte der Sith - Sach-Geschichten für Erstleser, Lesestufe Leseprofis";;"9,95 €";;"9,95 €"
9783831050420;1;"LEGO® Bauideen Roboter";"DORLING KINDERSLEY,DORLING";"12,95 €";;"12,95 €"
9783833908774;1;"Ungeheuer lieb (Band 1)";"BAUMHAUS MEDIEN";"14,00 €";;"14,00 €"
9783833910616;2;"Gregs Tagebuch 20 - Bock auf Party? - Großer Lesespaß mit Comic-Roman-Held Greg Heffley";;"16,00 €";;"32,00 €"
9783833936593;1;"Gregs Tagebuch 13";;"16,00 €";;"16,00 €"
9783836962612;1;"Frühlings-Wimmelbuch";;"14,00 €";;"14,00 €"
9783840036132;1;"Abenteuer Geschichte Tagesabreißkalender 2026 - Menschen, Ereignisse, Epochen - von den Anfängen bis heute - Wissenskalender mit den wichtigsten Ereignissen der Weltgeschichte. Tischkalender für jeden Tag. Tageskalender 2026 zum Abreißen";;"16,99 €";;"16,99 €"
9783845859095;1;"Sticker-Anziehpuppen Metallic - Winterfeen - Über 200 Sticker mit Metallic-Effekt";;"8,99 €";;"8,99 €"
9783846601600;1;"Good Girl, Bad Blood";;"16,00 €";;"16,00 €"
9783848902415;1;"Groß werden - Poetisches Bilderbuch über die Natur, das Leben und die Verbindung zwischen Mutter und Kind";;"16,00 €";;"16,00 €"
9783855353910;1;"Der Gang vor die Hunde - Roman";"Atrium Verlag";"22,95 €";;"22,95 €"
9783888975684;1;"Kamfu mir helfen?";;"18,00 €";;"18,00 €"
9783892560715;1;"Die blaue Insel - mit der Titanic in die Ewigkeit ; ein Blick in das Leben im Jenseits ; eine Beschreibung des Überganges jäh aus dem Leben gerissener Menschen";;"9,00 €";;"9,00 €"
9783897774605;1;"Stell dir vor, du wärst...ein Tier im Wald";;"12,95 €";;"12,95 €"
9783958906457;1;"Geschichtsmythen - Die Macht historischer Erzählungen";;"32,00 €";;"32,00 €"
9783959392426;1;"Kleines Weihnachtssternchen";;"20,00 €";;"20,00 €"
9783960310600;1;"Mainzer Stadtspaziergänge XI - Finthen, Drais, Lerchenberg, Marienborn";;"19,95 €";;"19,95 €"
9789403759463;1;"Merry Christmas - Englische Kurzgeschichten Adventskalender: - Englisch lernen in der Adventszeit ¿ mit 24 zweisprachigen Weihnachtsgeschichten (inkl. Audios, Vokabeln und Übungen)";;"14,00 €";;"14,00 €"
"978-1-0357-0250-3";1;"Mein erstes Fahrzeuge-Klappenbuch: Bagger";" USBORNE VERLAG";"11,00 €";;"11,00 €"
"978-3-0369-5073-0";2;"Die Passantin";" George, Nina KEIN & ABER";"26,00 €";;"52,00 €"
"978-3-0369-6194-1";1;"Tage mit mir";" Wood, Charlotte KEIN & A";"16,00 €";;"16,00 €"
"978-3-0369-6199-6";2;"Die Entflammten";" Meier, Simone KEIN & ABE";"15,00 €";;"30,00 €"
"978-3-10-397364-8";1;"Wie konnte das geschehen? Deutschland 1933 bis 1945";" Aly, Götz FISCHER, S., ";"34,00 €";;"34,00 €"
"978-3-10-397657-1";2;"Das Schwarz an den Händen meines Vaters";" Schätte, Lena FISCHER, ";"24,00 €";;"48,00 €"
"978-3-12-949664-0";2;"Bibi & Tina: Die 6 schönsten Reiterhof-Abenteuer";" KLETT, ERNST, VERLAG GMB";"15,00 €";;"30,00 €"
"978-3-15-014734-4";3;"Reclams klassischer Adventskalender. ""Was kümmert uns die kalte Nacht?""";" RECLAM, PHILIPP, JUN. GM";"8,00 €";;"24,00 €"
"978-3-257-07335-5";1;"Für Polina";" Würger, Takis DIOGENES ";"26,00 €";;"26,00 €"
"978-3-257-24788-6";2;"Melody";" Suter, Martin DIOGENES Z";"15,00 €";;"30,00 €"
"978-3-257-24806-7";1;"Rauch und Schall";" Lewinsky, Charles DIOGEN";"15,00 €";;"15,00 €"
"978-3-328-11263-1";1;"Schwedenträume und Schokoladenzauber";" Blixt, Hanna PENGUIN BOO";"13,00 €";;"13,00 €"
"978-3-328-30385-5";2;"Der Weihnachtskauz";" Sabbag, Britta PENGUIN B";"15,00 €";;"30,00 €"
"978-3-328-30390-9";1;"Wir alle geMEINSam!";" Meserve, Jessica PENGUIN";"15,00 €";;"15,00 €"
"978-3-328-60428-0";1;"Himmelerdenblau";" Hausmann, Romy PENGUIN B";"18,00 €";;"18,00 €"
"978-3-365-01151-5";1;"Schneegestöber im kleinen Katzencafé";" Rowlands, Rachel HARPERC";"14,00 €";;"14,00 €"
"978-3-401-60795-5";2;"Windwalkers - Verborgene Flügel";" Brandis, Katja ARENA VER";"16,00 €";;"32,00 €"
"978-3-401-71994-8";3;"Weil wir zusammengehören";" Dunker, Kristina ARENA V";"15,00 €";;"45,00 €"
"978-3-401-72118-7";1;"Marini Marienkäfer. Sei nicht traurig!";" Dahle, Stefanie ARENA VE";"12,00 €";;"12,00 €"
"978-3-401-72141-5";2;"Mimi Zuckerperle und die Zauberbäckerei. Das große Knuspertorten-Abenteuer.";"Grimm, Sandra";"14,00 €";;"28,00 €"
"978-3-401-72148-4";1;"Sag laut nein, und geh nicht mit!";" Gemmel, Stefan ARENA VER";"10,00 €";;"10,00 €"
"978-3-401-72153-8";5;"Kleines Einhorn Funkelstern - Der geheimnisvolle Freundschaftszauber";" Berg, Mila ARENA VERLAG ";"16,00 €";;"80,00 €"
"978-3-401-72162-0";1;"Benno Bibers Weihnachtswerkstatt. Spielzeug basteln";"Kugler, Christine";"12,00 €";;"12,00 €"
"978-3-401-72169-9";2;"Mimi Zuckerperle und die Zauberbäckerei (2). Die verhexten Regenbogen-Brezeln";" Grimm, Sandra ARENA VERL";"12,00 €";;"24,00 €"
"978-3-401-72205-4";3;"Ella und der Einhornzauber";" Moser, Annette ARENA VER";"10,00 €";;"30,00 €"
"978-3-404-19490-2";1;"Das Kamelienhaus";" Bach, Tabea LÜBBE GMBH ";"14,00 €";;"14,00 €"
"978-3-406-83626-8";1;"Anna oder: Was von einem Leben bleibt";" Sußebach, Henning BECK,";"23,00 €";;"23,00 €"
"978-3-407-75988-7";2;"Zilly und Zingaro. Die verrückte Nacht";" Paul, Korky/Thomas, Vale";"14,00 €";;"28,00 €"
"978-3-411-71780-4";2;"Kleines Kuriositätenkabinett der deutschen Sprache";" BIBLIOGRAPHISCHES INSTIT";"14,00 €";;"28,00 €"
"978-3-423-14921-1";1;"Seit er sein Leben mit einem Tier teilt";" Kirchhoff, Bodo DEUTSCHE";"14,00 €";;"14,00 €"
"978-3-423-26430-3";1;"Verraten";" Adler-Olsen, Jussi DEUTS";"17,00 €";;"17,00 €"
"978-3-423-26445-7";1;"Apfelstrudel-Alibi";" Falk, Rita DEUTSCHER TAS";"18,00 €";;"18,00 €"
"978-3-423-28392-2";1;"Du musst meine Hand fester halten, Nr. 104";" Abel, Susanne DEUTSCHER ";"24,00 €";;"24,00 €"
"978-3-423-28452-3";1;"Der Pinguin, der fliegen lernte";" Hirschhausen, Eckart von";"18,00 €";;"18,00 €"
"978-3-423-76585-5";2;"Alle nennen mich Nein-Sam - Ein ahnungsloser Mops beißt sich durch";" Daywalt, Drew DEUTSCHER ";"15,00 €";;"30,00 €"
"978-3-423-76587-9";2;"Kalle Keks & Krümel - Die verzauberte Wichteltür";" Schweizer, Lotte DEUTSCH";"16,00 €";;"32,00 €"
"978-3-423-76594-7";1;"Aristide Ledoux - Meisterdieb wider Willen";" Reifenberg, Frank Maria ";"18,00 €";;"18,00 €"
"978-3-426-28175-8";3;"Der Nachbar";" Fitzek, Sebastian VERLAG";"25,00 €";;"75,00 €"
"978-3-426-53040-5";1;"Die Bibliothek im Nebel";" Meyer, Kai VERLAGSGRUPPE";"13,99 €";;"13,99 €"
"978-3-426-56484-4";1;"Bodenfrost";" Föhr, Andreas VERLAGSGR";"16,99 €";;"16,99 €"
"978-3-426-56678-7";1;"Meet Me Under the Mistletoe";" Knaur Romance VERLAGSGRU";"17,99 €";;"17,99 €"
"978-3-426-65958-8";1;"Die Frauen von Helgoland. Windflüchterin";" Wulff, Thesche VERLAGSGR";"12,99 €";;"12,99 €"
"978-3-440-17968-0";2;"Die drei !!! - Diebstahl im Weihnachtsdorf";" Heger, Ann-Katrin FRANCK";"15,00 €";;"30,00 €"
"978-3-440-17974-1";2;"Die Auferstehung";" Eschbach, Andreas FRANCK";"24,00 €";;"48,00 €"
"978-3-440-18215-4";3;"Die drei !!! Adventskalender 3: Wirbel um das Weihnachts-Pony";" Scheller, Anne FRANCKH-K";"11,00 €";;"33,00 €"
"978-3-440-18258-1";4;"EXIT® - Das Buch: Der Adventskalender: Die Intrige im Herrenhaus";" Brand, Inka/Brand, Marku";"16,00 €";;"64,00 €"
"978-3-440-18284-0";2;"Die drei ??? Kids - Der Adventskalender";" Blanck, Ulf FRANCKH-KOSM";"15,00 €";;"30,00 €"
"978-3-442-14268-2";2;"Der Salzpfad";" Winn, Raynor GOLDMANN VE";"13,00 €";;"26,00 €"
"978-3-442-20654-4";1;"Montmartre - Licht und Schatten";" Lacrosse, Marie GOLDMANN";"17,00 €";;"17,00 €"
"978-3-442-31768-4";2;"Wer Zwietracht sät";" George, Elizabeth GOLDMA";"28,00 €";;"56,00 €"
"978-3-442-31784-4";1;"Die Briefeschreiberin";" Evans, Virginia GOLDMANN";"24,00 €";;"24,00 €"
"978-3-442-49653-2";1;"Eine fast perfekte Frau";" Jordan, Toni GOLDMANN VE";"14,00 €";;"14,00 €"
"978-3-442-49689-1";1;"Das Jahr voller Bücher und Wunder";" Page, Libby GOLDMANN VER";"14,00 €";;"14,00 €"
"978-3-442-76299-6";1;"BLUT";" Sigurdardóttir, Yrsa GO";"18,00 €";;"18,00 €"
"978-3-442-77424-1";1;"Zwischen Welten";" Zeh, Juli/Urban, Simon G";"13,00 €";;"13,00 €"
"978-3-442-77524-8";3;"Trophäe";" Schoeters, Gaea GOLDMANN";"14,00 €";;"42,00 €"
"978-3-442-77541-5";1;"Möchte die Witwe angesprochen werden …";"Stanisic Sana";"14,00 €";;"14,00 €"
"978-3-453-42949-9";1;"Der Lehrer - Will er dir helfen oder will er deinen Tod?";" McFadden, Freida HEYNE, ";"17,00 €";;"17,00 €"
"978-3-453-44213-9";1;"Achtsam morden durch bewusste Ernährung";" Dusse, Karsten HEYNE, W ";"13,00 €";;"13,00 €"
"978-3-453-44215-3";2;"Wenn sie wüsste";" McFadden, Freida HEYNE, ";"13,00 €";;"26,00 €"
"978-3-453-44317-4";2;"Munk";" Weiler, Jan HEYNE, W MÜ";"14,00 €";;"28,00 €"
"978-3-453-60701-9";1;"Allein mit dem Handy: So schützen wir unsere Kinder";" Wolff, Daniel HEYNE, W M";"17,00 €";;"17,00 €"
"978-3-458-64524-5";2;"Vom Glück, im Chor zu singen";" Moster, Stefan INSEL VER";"20,00 €";;"40,00 €"
"978-3-458-64534-4";1;"Birdie";" Rose, J P INSEL VERLAG A";"16,00 €";;"16,00 €"
"978-3-462-00827-2";1;"Zeit, sich aus dem Staub zu machen";" Petkovic, Andrea KIEPENH";"13,00 €";;"13,00 €"
"978-3-462-00924-8";2;"Das verborgene Genie";" Benedict, Marie KIEPENHE";"13,00 €";;"26,00 €"
"978-3-473-32697-6";1;"Fußball";" RAVENSBURGER BUCHVERLAG ";"4,99 €";;"4,99 €"
"978-3-473-32954-0";1;"Wieso? Weshalb? Warum? junior, Band 44: Was machen wir an Weihnachten?";" Erne, Andrea RAVENSBURGE";"11,99 €";;"11,99 €"
"978-3-473-41922-7";1;"Lotta feiert Weihnachten";" Grimm, Sandra RAVENSBURG";"8,99 €";;"8,99 €"
"978-3-473-46361-9";2;"Zauberhafte Weihnachtsgeschichten für Erstleser - lesen lernen mit dem 1";"Fabisch, Alexandra/Lenz, ";"9,99 €";;"19,98 €"
"978-3-473-46398-5";2;"Die unendliche Klassenfahrt - Spuk auf Burg Hammelstein";" Petrowitz, Michael RAVEN";"11,99 €";;"23,98 €"
"978-3-473-46403-6";1;"Hase Hibiskus und die (K)Einschlafparty";" König, Andreas RAVENSBU";"14,99 €";;"14,99 €"
"978-3-473-46418-0";1;"Die Jagd nach dem magischen Detektivkoffer – Adventskalender";"Stronk, Cally/Friedrich, Christian";"12,99 €";;"12,99 €"
"978-3-473-58683-7";4;"Northern Nights. Ein Adventskalender. New-Adult-Lovestorys";"Dutter, Andreas/Grauer, Sandra/Iosivoni,";"17,99 €";;"71,96 €"
"978-3-473-60076-2";2;"Wieso? Weshalb? Warum? junior AKTIV - Auf dem Ponyhof";" RAVENSBURGER BUCHVERLAG ";"6,99 €";;"13,98 €"
"978-3-473-60077-9";1;"Wieso? Weshalb? Warum? Sonderband - Mein ABC der Tiere";" Gernhäuser, Susanne RAV";"19,99 €";;"19,99 €"
"978-3-473-60089-2";2;"Wieso? Weshalb? Warum? Meine Vorlesegeschichten, Band 3 - Wer ist hi";"Friese, Inka";"14,99 €";;"29,98 €"
"978-3-492-06529-0";1;"Leichtes Herz und schwere Beine";" Schlegl, Tobias PIPER VE";"18,00 €";;"18,00 €"
"978-3-492-06624-2";1;"Die mutige Rebellin";" Eckermann, Patricia/Sull";"15,00 €";;"15,00 €"
"978-3-492-07183-3";1;"Sonnenaufgang Nr. 5";" Henn, Carsten PIPER VERL";"18,00 €";;"18,00 €"
"978-3-492-07245-8";1;"Und ohne Tabu explodiert die Welt";" Röhrig, Tilman PIPER VE";"28,00 €";;"28,00 €"
"978-3-492-07366-0";1;"Ein Herz aus Papier und Sternen";" Ahern, Cecelia PIPER VER";"24,00 €";;"24,00 €"
"978-3-492-32176-1";1;"Die geheime Weihnachtsbibliothek";" Colgan, Jenny PIPER VERL";"13,00 €";;"13,00 €"
"978-3-492-32199-0";2;"Der Maler und das reine Blau des Himmels";" Röhrig, Tilman PIPER VE";"15,00 €";;"30,00 €"
"978-3-492-32218-8";1;"Späte Ernte";" Wellemin, Nicole PIPER V";"13,00 €";;"13,00 €"
"978-3-498-00770-6";1;"Die Assistentin";" Wahl, Caroline ROWOHLT V";"24,00 €";;"24,00 €"
"978-3-499-00377-6";1;"Besser fühlen";" Windscheid, Leon (Dr.) R";"16,00 €";;"16,00 €"
"978-3-499-00404-9";1;"Eifelfrauen: Das Haus der Füchsin";" Riebe, Brigitte ROTFUCHS";"15,00 €";;"15,00 €"
"978-3-499-00993-8";1;"Eine halbe Ewigkeit";" Kürthy, Ildikó von ROT";"14,00 €";;"14,00 €"
"978-3-499-01130-6";1;"Iowa";" Sargnagel, Stefanie ROTF";"14,00 €";;"14,00 €"
"978-3-499-01269-3";1;"Ein Ort für immer";" Norton, Graham ROTFUCHS ";"14,00 €";;"14,00 €"
"978-3-499-01438-3";1;"Die schönste Version";" Thomas, Ruth-Maria ROTFU";"14,00 €";;"14,00 €"
"978-3-499-01613-4";1;"Ihr habt es gut, ihr habt ja mich";" Bergmann, Renate ROTFUCH";"13,00 €";;"13,00 €"
"978-3-499-01726-1";1;"Das kleine Zuhause in Prag";" Caplin, Julie ROTFUCHS E";"14,00 €";;"14,00 €"
"978-3-505-15202-3";1;"Minecraft Lexikon der Mobs";"Mojang AB";"18,00 €";;"18,00 €"
"978-3-505-15288-7";1;"Spekulatius, der Weihnachtsdrache. Spekulatius und der Schneeriese";" Goldfarb, Tobias HARPERC";"14,00 €";;"14,00 €"
"978-3-518-00130-1";1;"Mit Männern leben";" Garcia, Manon SUHRKAMP V";"20,00 €";;"20,00 €"
"978-3-518-43220-4";1;"Mein Name ist Emilia del Valle";" Allende, Isabel SUHRKAMP";"28,00 €";;"28,00 €"
