"LfdNr";"Titel";"isbn";"Verlag";"Preis"
0;"Anna oder: Was von einem Leben bleibt";"978-3-406-83626-8";" Sußebach, Henning BECK,";23
1;"Das kleine Häwas";"978-3-949239-25-0";" Niechzial, Saskia/Pomnit";22,9
2;"Das kleine Häwas";"978-3-949239-25-0";" Niechzial, Saskia/Pomnit";22,9
3;"Der Liebe zuliebe";"978-3-96340-260-9";" Wecker, Konstantin BENE!";24
4;"Der verschwundene Buchladen";"978-3-98585-211-6";" Woods, Evie ADRIAN & WIM";14,95
5;"Die 25 schönsten E-Bike Touren zwischen Rhein, Main und Lahn";"978-3-96990-212-7";" Steinbicker, Otmar BIELE";17,95
6;"Die Ausweichschule";"978-3-98816-022-5";" Erdmann, Kaleb ULLSTEIN ";22
7;"Die Ernährungs-Docs - Unsere große Nährstoffküche";"978-3-96584-561-9";" Andresen, Viola (Dr. med";26,99
8;"Die Frau als Mensch";"978-3-95640-445-0";" Lust, Ulli REHM, DIRK BE";29
9;"Die Revolte der Erde";"978-3-8392-0770-3";" Detering, Heinrich (Prof";28
;"die schneekönigin";;;15
10;"Herr Hütchen sagt Gute Nacht - Einschlaf-Geschichten aus dem Wald";"978-3-8339-1031-9";" Pokahr, Katrin BAUMHAUS ";15
11;"Ice-cold Desire";"978-3-8458-6528-7";" Wood, Daniel/Winter, May";14
12;"Leo Lausemaus lernt Schleifen binden";"978-3-96347-336-4";" Witt, Sophia LINGEN, HEL";12,95
13;"Margot Friedländer - Eine Stimme für das Leben";"978-3-949582-44-8";" Friedländer, Margot/Hur";20
14;"Margot Friedländer - Eine Stimme für das Leben";"978-3-949582-44-8";" Friedländer, Margot/Hur";20
15;"Nachtschattengewächse";"978-3-85535-220-3";" Johnson, Jill ATRIUM ZÜ";24
16;"Nanami - Schwimm dich mutig";"978-3-96129-516-6";" Pohl, Nathalie/Stremmel,";16,99
17;"Stille Post";"978-3-95939-235-8";" Tuschka, Andrea BOHEM PR";20
18;"Weihnachten mit (ohne) Juli";"978-3-8339-0676-3";" Eimer, Petra BAUMHAUS VE";14
19;"Weil du es wert bist - Der Selbstliebe Adventskalender für Frauen";;" Alina Engels BOOK ME! ME";12,95
20;"YouTube-Chaos";"978-3-96890-226-5";" LukasBS BRAINBOOK VERLAG";17,99
;;;;434,57
