"LfdNr";"Titel";"isbn";"Verlag";"Preis"
0;"Abreißkalender Achtsamkeit für dich 2026";4014489135395;" ARSEDITION GMBH MÜNCHEN";15,99
1;"Bretonische Versuchungen";"978-3-462-00250-8";" Bannalec, Jean-Luc KIEPE";18
2;"Die Hummerfrauen";"978-3-423-28476-9";" Gerstberger, Beatrix DEU";22
3;"KI und du";"978-3-473-48099-9";" Knodel, Diana/Lesch, Han";14,99
;;;;70,98
