"LfdNr";"Titel";"isbn";"Verlag";"Preis"
0;"Achtsam morden durch bewusste Ernährung";"978-3-453-44213-9";" Dusse, Karsten HEYNE, W ";13
1;"Allein mit dem Handy: So schützen wir unsere Kinder";"978-3-453-60701-9";" Wolff, Daniel HEYNE, W M";17
2;"Birdie";"978-3-458-64534-4";" Rose, J P INSEL VERLAG A";16
3;"BLUT";"978-3-442-76299-6";" Sigurdardóttir, Yrsa GO";18
4;"Bodenfrost";"978-3-426-56484-4";" Föhr, Andreas VERLAGSGR";16,99
5;"Das Jahr voller Bücher und Wunder";"978-3-442-49689-1";" Page, Libby GOLDMANN VER";14
6;"Das verborgene Genie";"978-3-462-00924-8";" Benedict, Marie KIEPENHE";13
7;"Das verborgene Genie";"978-3-462-00924-8";" Benedict, Marie KIEPENHE";13
8;"Der Lehrer - Will er dir helfen oder will er deinen Tod?";"978-3-453-42949-9";" McFadden, Freida HEYNE, ";17
9;"Der Salzpfad";"978-3-442-14268-2";" Winn, Raynor GOLDMANN VE";13
10;"Der Salzpfad";"978-3-442-14268-2";" Winn, Raynor GOLDMANN VE";13
11;"Die Auferstehung";"978-3-440-17974-1";" Eschbach, Andreas FRANCK";24
12;"Die Auferstehung";"978-3-440-17974-1";" Eschbach, Andreas FRANCK";24
13;"Die Bibliothek im Nebel";"978-3-426-53040-5";" Meyer, Kai VERLAGSGRUPPE";13,99
14;"Die Briefeschreiberin";"978-3-442-31784-4";" Evans, Virginia GOLDMANN";24
15;"Die drei !!! Adventskalender 3: Wirbel um das Weihnachts-Pony";"978-3-440-18215-4";" Scheller, Anne FRANCKH-K";11
16;"Die drei !!! Adventskalender 3: Wirbel um das Weihnachts-Pony";"978-3-440-18215-4";" Scheller, Anne FRANCKH-K";11
17;"Die drei !!! - Diebstahl im Weihnachtsdorf";"978-3-440-17968-0";" Heger, Ann-Katrin FRANCK";15
18;"Die drei ??? Kids - Der Adventskalender";"978-3-440-18284-0";" Blanck, Ulf FRANCKH-KOSM";15
19;"Die drei ??? Kids - Der Adventskalender";"978-3-440-18284-0";" Blanck, Ulf FRANCKH-KOSM";15
20;"Die Frauen von Helgoland. Windflüchterin";"978-3-426-65958-8";" Wulff, Thesche VERLAGSGR";12,99
;"Die Jagd nach dem magischen Detektivkoffer";;;12,99
21;"Die unendliche Klassenfahrt - Spuk auf Burg Hammelstein";"978-3-473-46398-5";" Petrowitz, Michael RAVEN";11,99
22;"Die unendliche Klassenfahrt - Spuk auf Burg Hammelstein";"978-3-473-46398-5";" Petrowitz, Michael RAVEN";11,99
23;"Eine fast perfekte Frau";"978-3-442-49653-2";" Jordan, Toni GOLDMANN VE";14
24;"EXIT® - Das Buch: Der Adventskalender: Die Intrige im Herrenhaus";"978-3-440-18258-1";" Brand, Inka/Brand, Marku";16
25;"EXIT® - Das Buch: Der Adventskalender: Die Intrige im Herrenhaus";"978-3-440-18258-1";" Brand, Inka/Brand, Marku";16
26;"Hase Hibiskus und die (K)Einschlafparty";"978-3-473-46418-0";" König, Andreas RAVENSBU";14,99
27;"Leserabe Sonderausgaben - Zauberhafte Weihnachtsgeschichten für Erstleser";"978-3-473-46361-9";" Fabisch, Alexandra/Lenz,";9,99
28;"Lotta feiert Weihnachten";"978-3-473-41922-7";" Grimm, Sandra RAVENSBURG";8,99
29;"Meet Me Under the Mistletoe";"978-3-426-56678-7";" Knaur Romance VERLAGSGRU";17,99
;"Möchte die Wittwe angesprochen werden";;;14
30;"Montmartre - Licht und Schatten";"978-3-442-20654-4";" Lacrosse, Marie GOLDMANN";17
31;"Munk";"978-3-453-44317-4";" Weiler, Jan HEYNE, W MÜ";14
32;"Munk";"978-3-453-44317-4";" Weiler, Jan HEYNE, W MÜ";14
33;"Northern Nights";"978-3-473-58683-7";" Dutter, Andreas/Grauer, ";17,99
34;"Trophäe";"978-3-442-77541-5";" Schoeters, Gaea GOLDMANN";14
35;"Trophäe";"978-3-442-77541-5";" Schoeters, Gaea GOLDMANN";14
36;"Vom Glück, im Chor zu singen";"978-3-458-64524-5";" Moster, Stefan INSEL VER";20
37;"Wenn sie wüsste";"978-3-453-44215-3";" McFadden, Freida HEYNE, ";13
38;"Wer Zwietracht sät";"978-3-442-31768-4";" George, Elizabeth GOLDMA";28
39;"Wer Zwietracht sät";"978-3-442-31768-4";" George, Elizabeth GOLDMA";28
40;"Wieso? Weshalb? Warum? aktiv-Heft - Fußball";"978-3-473-32697-6";" RAVENSBURGER BUCHVERLAG ";4,99
41;"Wieso? Weshalb? Warum? junior, Band 44 - Was machen wir an Weihnachten?";"978-3-473-32954-0";" Erne, Andrea RAVENSBURGE";11,99
42;"Zeit, sich aus dem Staub zu machen";"978-3-462-00827-2";" Petkovic, Andrea KIEPENH";13
43;"Zwischen Welten";"978-3-442-77424-1";" Zeh, Juli/Urban, Simon G";13
;;;;701,87
